cariver,castate,codenver4all,fl7all,instate,mdstate,mistate,ncstate,njstate,ohstate,orstate,pastate,set1,set2,set3,set4,set5,txstate
,,,,,,,,,,,,,,MTSWEETGRASS,,,TXHALE
,,,,,,,,,,,,,,NEBANNER,,,TXHALL
,,,,,,,,,,,,,,SCDARLINGTON,,,TXJIMHOGG
,,,,,,,,,,,,,,STATENISLAND,,,TXKING
,,,,,,,,,,,,,,,,,TXNEWTON
,,,,,,,,,,,,,,,,,TXPALOPINTO
,,,,,,,,,,,,,,,,,TXROBERTS
,,,,,,,,,,,,,,,,,TXRUNNELS
,,,,,,,,,,,,,,,,,TXSCURRY
,,,,,,,,,,,,,,,,,TXSTARR
,,,,,,,,,,,,,,,,,TXSTEPHENS
,,,,,,,,,,,,,,,,,TXSTERLING
,,,,,,,,,,,,,,,,,TXWARD
,,,,,,,,,,,,,,,,,TXWASHINGTON
,,,,,,,,,,,,,,,,,TXWHARTON
,,,,,,,,,,,,,,,,,TXYOUNG
