classify_model/cariver,classify_model/flpalmbeach,classify_model/flsaintlucie,classify_model/codenver4all,classify_model/fl7all,classify_model/castate,classify_model/mistate,classify_model/njstate,classify_model/ohstate,classify_model/pastate,classify_model/instate,classify_model/mdstate,classify_model/txstate,classify_model/ncstate,classify_model/orstate,classify_model/set1,classify_model/set2,classify_model/set3,classify_model/set4,classify_model/set5
,,,,,,,,oh wood,,in warrick,,tx glasscock,nc swain,,mo hickory,il saint clair,tn hickman,ky montgomery,ok ottawa
,,,,,,,,oh wyandot,,in washington,,tx goliad,nc transylvania,,mo holt,il stark,tn houston,ky morgan,ok pawnee
,,,,,,,,,,in wayne,,tx gonzales,nc tyrrell,,mo howard,il stephenson,tn humphreys,ky muhlenberg,ok payne
,,,,,,,,,,in wells,,tx gray,nc union,,mo howell,il tazewell,tn jackson,ky nelson,ok pittsburg
,,,,,,,,,,in white,,tx grayson,nc vance,,mo iron,il union,tn jefferson,ky nicholas,ok pontotoc
,,,,,,,,,,in whitley,,tx gregg,nc wake,,mo jackson,il vermilion,tn johnson,ky ohio,ok pottawatomie
,,,,,,,,,,,,tx grimes,nc warren,,mo jasper,il wabash,tn knox,ky oldham,ok pushmataha
,,,,,,,,,,,,tx guadalupe,nc washington,,mo jefferson,il warren,tn lake,ky owen,ok roger mills
,,,,,,,,,,,,tx hale,nc watauga,,mo johnson,il washington,tn lauderdale,ky owsley,ok rogers
,,,,,,,,,,,,tx hall,nc wayne,,mo knox,il wayne,tn lawrence,ky pendleton,ok seminole
,,,,,,,,,,,,tx hamilton,nc wilkes,,mo laclede,il white,tn lewis,ky perry,ok sequoyah
,,,,,,,,,,,,tx hansford,nc wilson,,mo lafayette,il whiteside,tn lincoln,ky pike,ok stephens
,,,,,,,,,,,,tx hardeman,nc yadkin,,mo lawrence,il will,tn loudon,ky powell,ok texas
,,,,,,,,,,,,tx hardin,nc yancey,,mo lewis,il williamson,tn macon,ky pulaski,ok tillman
,,,,,,,,,,,,tx harris,,,mo lincoln,il winnebago,tn madison,ky robertson,ok tulsa
,,,,,,,,,,,,tx harrison,,,mo linn,il woodford,tn marion,ky rockcastle,ok wagoner
,,,,,,,,,,,,tx hartley,,,mo livingston,ny albany,tn marshall,ky rowan,ok washington
,,,,,,,,,,,,tx haskell,,,mo macon,ny allegany,tn maury,ky russell,ok washita
,,,,,,,,,,,,tx hays,,,mo madison,ny bronx,tn mc minn,ky scott,ok woods
,,,,,,,,,,,,tx hemphill,,,mo maries,ny broome,tn mc nairy,ky shelby,ok woodward
,,,,,,,,,,,,tx henderson,,,mo marion,ny cattaraugus,tn meigs,ky simpson,wa adams
,,,,,,,,,,,,tx hidalgo,,,mo mcdonald,ny cayuga,tn monroe,ky spencer,wa asotin
,,,,,,,,,,,,tx hill,,,mo mercer,ny chautauqua,tn montgomery,ky taylor,wa benton
,,,,,,,,,,,,tx hockley,,,mo miller,ny chemung,tn moore,ky todd,wa chelan
,,,,,,,,,,,,tx hood,,,mo mississippi,ny chenango,tn morgan,ky trigg,wa clallam
,,,,,,,,,,,,tx hopkins,,,mo moniteau,ny clinton,tn obion,ky trimble,wa clark
,,,,,,,,,,,,tx houston,,,mo monroe,ny columbia,tn overton,ky union,wa columbia
,,,,,,,,,,,,tx howard,,,mo montgomery,ny cortland,tn perry,ky warren,wa cowlitz
,,,,,,,,,,,,tx hudspeth,,,mo morgan,ny delaware,tn pickett,ky washington,wa douglas
,,,,,,,,,,,,tx hunt,,,mo new madrid,ny dutchess,tn polk,ky wayne,wa ferry
,,,,,,,,,,,,tx hutchinson,,,mo newton,ny erie,tn putnam,ky webster,wa franklin
,,,,,,,,,,,,tx irion,,,mo nodaway,ny essex,tn rhea,ky whitley,wa garfield
,,,,,,,,,,,,tx jack,,,mo oregon,ny franklin,tn roane,ky wolfe,wa grant
,,,,,,,,,,,,tx jackson,,,mo osage,ny fulton,tn robertson,ky woodford,wa grays harbor
,,,,,,,,,,,,tx jasper,,,mo ozark,ny genesee,tn rutherford,de kent,wa island
,,,,,,,,,,,,tx jeff davis,,,mo pemiscot,ny greene,tn scott,de new castle,wa jefferson
,,,,,,,,,,,,tx jefferson,,,mo perry,ny hamilton,tn sequatchie,de sussex,wa king
,,,,,,,,,,,,tx jim hogg,,,mo pettis,ny herkimer,tn sevier,ks allen,wa kitsap
,,,,,,,,,,,,tx jim wells,,,mo phelps,ny jefferson,tn shelby,ks anderson,wa kittitas
,,,,,,,,,,,,tx johnson,,,mo pike,ny kings,tn smith,ks atchison,wa klickitat
,,,,,,,,,,,,tx jones,,,mo platte,ny lewis,tn stewart,ks barber,wa lewis
,,,,,,,,,,,,tx karnes,,,mo polk,ny livingston,tn sullivan,ks barton,wa lincoln
,,,,,,,,,,,,tx kaufman,,,mo pulaski,ny madison,tn sumner,ks bourbon,wa mason
,,,,,,,,,,,,tx kendall,,,mo putnam,ny manhattan,tn tipton,ks brown,wa okanogan
,,,,,,,,,,,,tx kenedy,,,mo ralls,ny monroe,tn trousdale,ks butler,wa pacific
,,,,,,,,,,,,tx kent,,,mo randolph,ny montgomery,tn unicoi,ks chase,wa pend oreille
,,,,,,,,,,,,tx kerr,,,mo ray,ny nassau,tn union,ks chautauqua,wa pierce
,,,,,,,,,,,,tx kimble,,,mo reynolds,ny niagara,tn van buren,ks cherokee,wa san juan
,,,,,,,,,,,,tx king,,,mo ripley,ny oneida,tn warren,ks cheyenne,wa skagit
,,,,,,,,,,,,tx kinney,,,mo saline,ny onondaga,tn washington,ks clark,wa skamania
,,,,,,,,,,,,tx kleberg,,,mo schuyler,ny ontario,tn wayne,ks clay,wa snohomish
,,,,,,,,,,,,tx knox,,,mo scotland,ny orange,tn weakley,ks cloud,wa spokane
,,,,,,,,,,,,tx la salle,,,mo scott,ny orleans,tn white,ks coffey,wa stevens
,,,,,,,,,,,,tx lamar,,,mo shannon,ny oswego,tn williamson,ks comanche,wa thurston
,,,,,,,,,,,,tx lamb,,,mo shelby,ny otsego,tn wilson,ks cowley,wa wahkiakum
,,,,,,,,,,,,tx lampasas,,,mo saint charles,ny putnam,al autauga,ks crawford,wa walla walla
,,,,,,,,,,,,tx lavaca,,,mo saint clair,ny queens,al baldwin,ks decatur,wa whatcom
,,,,,,,,,,,,tx lee,,,mo saint francois,ny rensselaer,al barbour,ks dickinson,wa whitman
,,,,,,,,,,,,tx leon,,,mo saint louis county,ny rockland,al bibb,ks doniphan,wa yakima
,,,,,,,,,,,,tx liberty,,,mo st. louis,ny saratoga,al blount,ks douglas,wi adams
,,,,,,,,,,,,tx limestone,,,mo ste genevieve,ny schenectady,al bullock,ks edwards,wi ashland
,,,,,,,,,,,,tx lipscomb,,,mo stoddard,ny schoharie,al butler,ks elk,wi barron
,,,,,,,,,,,,tx live oak,,,mo stone,ny schuyler,al calhoun,ks ellis,wi bayfield
,,,,,,,,,,,,tx llano,,,mo sullivan,ny seneca,al chambers,ks ellsworth,wi brown
,,,,,,,,,,,,tx loving,,,mo taney,ny saint lawrence,al cherokee,ks finney,wi buffalo
,,,,,,,,,,,,tx lubbock,,,mo texas,ny staten island (richmond),al chilton,ks ford,wi burnett
,,,,,,,,,,,,tx lynn,,,mo vernon,ny steuben,al choctaw,ks franklin,wi calumet
,,,,,,,,,,,,tx madison,,,mo warren,ny suffolk,al clarke,ks geary,wi chippewa
,,,,,,,,,,,,tx marion,,,mo washington,ny sullivan,al clay,ks gove,wi clark
,,,,,,,,,,,,tx martin,,,mo wayne,ny tioga,al cleburne,ks graham,wi columbia
,,,,,,,,,,,,tx mason,,,mo webster,ny tompkins,al coffee,ks grant,wi crawford
,,,,,,,,,,,,tx matagorda,,,mo worth,ny ulster,al colbert,ks gray,wi dane
,,,,,,,,,,,,tx maverick,,,mo wright,ny warren,al conecuh,ks greeley,wi dodge
,,,,,,,,,,,,tx mc lennan,,,nv carson city,ny washington,al coosa,ks greenwood,wi door
